mail;password
testuser0@example.com;Password0!
testuser1@example.com;Password1!
testuser2@example.com;Password2!
testuser3@example.com;Password3!
testuser4@example.com;Password4!
testuser5@example.com;Password5!
testuser6@example.com;Password6!
testuser7@example.com;Password7!
testuser8@example.com;Password8!
testuser9@example.com;Password9!
testuser10@example.com;Password10!
testuser11@example.com;Password11!
testuser12@example.com;Password12!
testuser13@example.com;Password13!
testuser14@example.com;Password14!
testuser15@example.com;Password15!
testuser16@example.com;Password16!
testuser17@example.com;Password17!
testuser18@example.com;Password18!
testuser19@example.com;Password19!
testuser20@example.com;Password20!
testuser21@example.com;Password21!
testuser22@example.com;Password22!
testuser23@example.com;Password23!
testuser24@example.com;Password24!
testuser25@example.com;Password25!
testuser26@example.com;Password26!
testuser27@example.com;Password27!
testuser28@example.com;Password28!
testuser29@example.com;Password29!
testuser30@example.com;Password30!
testuser31@example.com;Password31!
testuser32@example.com;Password32!
testuser33@example.com;Password33!
testuser34@example.com;Password34!
testuser35@example.com;Password35!
testuser36@example.com;Password36!
testuser37@example.com;Password37!
testuser38@example.com;Password38!
testuser39@example.com;Password39!
testuser40@example.com;Password40!
testuser41@example.com;Password41!
testuser42@example.com;Password42!
testuser43@example.com;Password43!
testuser44@example.com;Password44!
testuser45@example.com;Password45!
testuser46@example.com;Password46!
testuser47@example.com;Password47!
testuser48@example.com;Password48!
testuser49@example.com;Password49!
